Kitap Adı,Yazar,Okumak İsteyenler,Şu Anda Okuyanlar,Okumuş Olanlar,Zaman,Dil,Sayfa Sayısı,Yayıncı
Deathworld,by Harry Harrison ve Christian Rummel,23,1,20,1960,İngilizce,154,Bantam Books
The Black Cloud,by Fred Hoyle,43,1,7,1958,İngilizce,266,Harper & Brothers
Bloodchild and other stories,"by Octavia E. Butler, Janina Edwards, consonni, Arrate Hidalgo ve Nadia Barkate",51,1,17,2005,İngilizce,214,Seven Stories Press
Unter uns die Nacht,by Becky Chambers,39,2,34,"Apr 01, 2019",Dil bilgisi yok,Sayfa sayısı bilgisi yok,FISCHER TOR
La nuit des temps,by René Barjavel,62,3,8,1968,Fransızca,381,Presses de la Cité
Podkayne of Mars,by Robert A. Heinlein,26,11,0,1966,İngilizce,159,Avon Book
Star Wars,Epizod I. Prizrachnaya ugroza,43,5,10,2003,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Terra Fantastica - Eksmo-Press - Eksmo-M
The Bicentennial Man and Other Stories,by Isaac Asimov,41,1,21,1976,İngilizce,Sayfa sayısı bilgisi yok,"Doubleday & Company, Inc."
Jaloux,roman,42,2,14,2007,Fransızca,624,Éd. France loisirs
Mind of my mind,by Octavia E. Butler,66,1,5,1991,İngilizce,217,Warner Books
Acceptance,by Jeff VanderMeer,36,1,43,2014,İngilizce,341,HarperCollinsPublishers
Einstein's dreams,by Alan P. Lightman,52,2,20,1994,İngilizce,179,Warner Books
Motivation and goal-setting,how to set and achieve goals and inspire others,92,4,1,1998,İngilizce,119,Career Press
Poison Study,by Maria V. Snyder,64,2,15,"March 1, 2007",İngilizce,409,Mira
Jumper,by Steven Gould,54,3,18,2008,İngilizce,345,Tor
Re ye zhi meng,Zhen zang ban = Fevre dream,55,1,14,2016,Çince,423,Zhong qing chu ban she
The Book of Merlyn,The Unpublished Conclusion to The Once and Future King,35,1,11,1988,İngilizce,137,University of Texas Press
Embassytown,A Novel,50,3,25,"Jan 31, 2012",İngilizce,368,Del Rey
First Lensman,"by Edward Elmer Smith, Frederick E. Smith, E. E. SMITH (1890 - 1965), E. E. Smith, Edward E. ""Doc"" Smith, Edward E. Smith, by E. E. ""Doc"" Smith, E. Smith ve E. E. ""Doc"" ""Doc"" Smith",16,14,0,2020,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
Carve the Mark,by Veronica Roth,72,1,6,"Jan 17, 2017",İngilizce,480,Katherine Tegen Books
Furtună pe Windhaven,by George R. R. Martin ve Lisa Tuttle,50,13,0,2013,Rumence,527,Nemira
Fugitive Telemetry,by Martha Wells,38,3,48,2021,İngilizce,176,"Doherty Associates, LLC, Tom"
La sombra del gigante,Shadow of the giant,31,35,0,2012,İspanyolca,353,Ediciones B
Pět neděl v baloně,by Jules Verne,14,3,9,2013,Çekçe,Sayfa sayısı bilgisi yok,Městská knihovna v Praze
Otvetnyĭ udar,by Harry Turtledove ve Todd McLaren,46,5,6,2003,Rusça,715,"""Ėksmo"", ""Domino"""
Star Wars: Darth Bane: Path of Destruction,A Novel of the Old Republic,52,4,19,"June 26, 2007",İngilizce,416,Del Rey
Peresadochnai͡a stantsii͡a ; Rasskazy,by Clifford D. Simak,36,1,17,1998,Rusça,483,AST
R.U.R.,Rossum's universal robots; kolektivní drama v vstupní komedii a tech aktech,34,11,0,1920,Çekçe,96,Vydalo Aventinum
Cicero,Pro Roscio Amerino (Bristol Latin Texts Series) (Bristol Latin Texts Series),20,1,0,"August 1, 1991",İngilizce,176,Duckworth Publishing
L'homme qui vendit la lune,by Robert A. Heinlein,29,4,14,1991,Fransızca,Sayfa sayısı bilgisi yok,Presses Pocket
The man who ended war,by Hollis Godfrey,4,0,0,1908,İngilizce,301,"Little, Brown & company"
Angel,by James Patterson ve James Patterson Jr.,54,6,0,2012,İngilizce,412,Arrow Books
The Rise and Fall of D.O.D.O.,by Neal Stephenson ve Nicole Galland,34,33,0,2017,İngilizce,Sayfa sayısı bilgisi yok,William Morrow
Sterntagebücher,by Stanisław Lem,36,2,14,2003,Almanca,523,Suhrkamp
Hollow City,by Ransom Riggs,57,3,43,2015,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Quirk
The Futurological Congress,From the Memoirs of Ijon Tichy,41,18,0,1974,İngilizce,149,Seabury Press
The Umbrella Academy: Dallas,"by Gerard Way, Gabriel Ba, Dave Stewart, Nick Filardi, Nate Piekos ve Sergio Colomino",66,5,12,2008,İngilizce,Sayfa sayısı bilgisi yok,Dark Horse
Das zweite Gedächtnis,by Ken Follett,32,14,0,2001,Almanca,324,Bastei Lubbe
On Basilisk Station,by David Weber ve Allyson Johnson,43,1,29,1993,İngilizce,458,"Baen, Distributed by Simon & Schuster"
Inversions,by Iain M. Banks,29,1,39,1998,İngilizce,336,Orbit
In The Afterlight,by Alexandra Bracken,68,3,10,"Jun 09, 2016",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Hachette Children's Group
"The war in the air, and particularly how Mr. Bert Smallways fared while it lasted",by H. G. Wells,25,2,1,1908,İngilizce,Sayfa sayısı bilgisi yok,The Macmillan company
Startide Rising (Uplift),by David Brin,34,1,24,"February 1, 1996",İngilizce,480,Orbit
Star Wars: Into the Void,Dawn of the Jedi,80,7,4,2013,Dil bilgisi yok,780,"Random House Inc, Random House Publishing Group"
Stone of farewell.,by Tad Williams,44,2,19,1991,İngilizce,874,Legend
The Past through Tomorrow,future history stories,40,2,13,1987,İngilizce,785,SFBC Science Fiction Book Club
"L'Eveil d'Endymion, tome 1",by Dan Simmons,31,1,35,"July 6, 2000",Fransızca,401,Pocket
Nine tomorrows,tales of the near future,44,1,12,1959-06,İngilizce,311,"Fawcett Publications, Inc."
Odd Et Les Geants de Glace (French Edition),by Neil Gaiman,53,2,16,"Nov 01, 2010",İngilizce,333,Albin Michel Jeunesse
Spook country,by William Gibson,28,2,33,2009,İngilizce,591,RNIB
The Collapsing Empire (The Interdependency Book 1),by John Scalzi,31,1,55,"Mar 21, 2017",İngilizce,336,Tor Books
"Apprendre, si par bonheur",by Becky Chambers,41,1,32,2020,Fransızca,Sayfa sayısı bilgisi yok,L'Atalante
A Night in the Lonesome October,by Roger Zelazny,51,1,20,1993,İngilizce,280,William Morrow and Co.
The country of the blind,and other stories,21,2,4,1913,İngilizce,574,Nelson
The descent of man,and selection in relation to sex,26,2,3,1902,İngilizce,274,P. F. Collier
Slan,"by A. E. van Vogt, Oliver Wyman ve Kevin J. Anderson",33,4,11,November 1982,İngilizce,190,Berkley Publishing Co.
Lock In: A Novel of the Near Future,by John Scalzi,33,57,0,"Aug 26, 2014",İngilizce,336,Tor Books
Water Knife,by Paolo Bacigalupi ve Almarie Guerra,46,1,25,2015,İngilizce,384,"Little, Brown Book Group Limited"
House on the Borderland,by William Hope Hodgson,6,1,0,2010,İngilizce,188,"Unknown Publisher, Bibliolis Books"
The short stories of H.G. Wells.,by H. G. Wells,40,1,4,1927,İngilizce,1148,"E. Benn, Limited"
Running Out of Time,by Margaret Peterson Haddix,64,1,12,"May 31, 2005",İngilizce,192,Aladdin
Firefight,by Brandon Sanderson,33,31,0,2015,İngilizce,221,Delacorte Press
Shift,by Hugh Howey ve Hugh Howey,44,6,24,"Aug 15, 2013",İngilizce,448,Arrow Books
The hydrogen sonata,by Iain M. Banks,29,42,0,2012,İngilizce,517,Orbit
Haunted,A Tale of the Mediator,51,1,10,2004,İngilizce,403,Turtleback
Calamity,by Brandon Sanderson,33,3,29,2016,İngilizce,464,Ember
Nous sommes Légion,(nous sommes Bob),43,2,31,Zaman bilgisi yok,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Yayıncı bilgisi yok
Lirael,daughter of the Clayr,24,3,25,2002,İngilizce,705,HarperTrophy
Ökotopia,Notizen und Reportagen von William Weston aus dem Jahre 1999,50,1,6,1978,Almanca,223,Rotbuch Verlag
Farmer in the Sky,by Robert A. Heinlein,40,1,12,1968,İngilizce,Sayfa sayısı bilgisi yok,"Dell Publishing Co., Inc."
Fight for pow3r,by Eric Walters,68,3,4,2015,İngilizce,346,Razorbill
The Ringworld throne,by Larry Niven,33,1,33,1996,İngilizce,424,Ballantine Books
The city of gold and lead,by Sam Youd ve John Christopher,34,3,12,1988,İngilizce,218,Collier Books
Robot Visions,by Isaac Asimov,47,2,14,1991,İngilizce,383,VGSF
The Loneliest Girl in the Universe,by Lauren James,65,3,6,"Feb 28, 2019",İngilizce,421,Thorndike Press Large Print
The Chronicles of Pern: First Fall,by Anne McCaffrey,48,1,15,1994-Oct-01,İngilizce,336,Del Rey
"My Hero Academia, Vol. 2",by Kohei Horikoshi,76,1,11,2015,İngilizce,208,VIZ Media LLC
Altin Buda,"by Clive Cussler, Craig Dirgo ve Craig Dirgo",36,1,8,"Nov 03, 2005",Türkçe,Sayfa sayısı bilgisi yok,Altin Kitaplar
Nova,by Samuel R. Delany,37,2,11,1968,İngilizce,279,Doubleday & Company
Deathlands,time nomads,28,2,5,1990,İngilizce,348,Worldwide
L'or Bleu,by Clive Cussler ve Paul Kemprecos,33,1,17,"March 20, 2002",Fransızca,350,Grasset
The Humans : a novel,by Matt Haig,57,2,14,2013,İngilizce,282,Simon & Schuster
The Physics of Immortality,"Modern Cosmology, God, and the Resurrection of the Dead",59,6,9,1994,İngilizce,528,Doubleday
To ride Pegasus,by Anne McCaffrey,34,3,15,1973,İngilizce,243,Ballantine Books
Alien,The Official Movie Novelization,59,4,14,"Apr 18, 2014",İngilizce,288,Titan Books
Revolt in 2100,by Robert A. Heinlein,28,3,12,1982,İngilizce,258,New English Library
Marvel Masterworks,Daredevil Volume 1. (Reprints Daredevil Nos. 1-11) (ComicCraft cover) (1999),33,3,4,"March 1, 1999",İngilizce,248,Marvel Entertainment Group
Empty world,by Sam Youd,56,5,4,1978,İngilizce,134,Dutton
The Princess Casamassima,A novel,39,2,0,1886,Dil bilgisi yok,169,Macmillan and co.
密やかな結晶,by 小川洋子,55,3,8,1999,Japonca,401,Kōdansha
Starman Jones,by Robert A. Heinlein,29,1,15,1975,İngilizce,30,Del Rey
We Are Water Protectors,by Carole Lindstrom ve Michaela Goade,73,1,6,2020,İngilizce,40,"Roaring Brook Press, a division of Holtzbrinck Publishing"
Valhalla'nin yükselisi,by Clive Cussler ve Scott Brick,31,3,20,2003,Türkçe,543,Altin
Songs of Love and Death,All-Original Tales of Star-Crossed Love,62,1,10,"May 16, 2015",İngilizce,656,Gallery Books
Hellboy Volume 8,Darkness Calls (Hellboy (Graphic Novels)),49,3,12,"June 25, 2007",İngilizce,200,Dark Horse
The Dangerous Days of Daniel X,by James Patterson,38,5,4,2008-07,İngilizce,304,"Little, Brown and Company"
The book of the new Sun,the shadow of the torturer ; The claw of the conciliator ; The sword of the lictor ; The citadel of the autarch,61,5,7,1998,İngilizce,950,SFBC Science Fiction
How To Stop Time,by Matt Haig,70,1,8,2008, İngilizce,802,Tordotcom
Canongate",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Yayıncı bilgisi yok
The Time Traders,by Andre Norton,35,1,3,2020,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
House of Suns,by Alastair Reynolds ve John Lee,48,27,0,"May 25, 2010",İngilizce,576,Ace
Les Aventures d'en Huk i en Gluk cavernícoles del Kungfutur,by Dav Pilkey,45,4,13,2012,Katalanca,175,Cruïlla
Adulthood Rites,"by Octavia E. Butler, Aldrich Barrett ve Ernest Riera Arbussà",40,2,20,"April 1, 1997",İngilizce,304,Aspect
Vert émeraude,by Kerstin Gier ve Anthea Bell,51,15,0,2012,Fransızca,425,Milan
Buz,by Anna Kavan,41,1,5,1995,Türkçe,Sayfa sayısı bilgisi yok,Yapi Kredi
No highway,by Nevil Shute,12,1,3,1948,İngilizce,314,Heinemann
Asimov's Mysteries,by Isaac Asimov,43,4,7,1979,İngilizce,230,Panther
Max,by James Patterson ve Jill Apple,50,1,10,2009,İngilizce,266,Chivers
L'Épée de Vérité T11 L'Ombre d'une Inquisitrice,L'Épée de Vérité,32,24,0,"Mar 25, 2011",İngilizce,576,BRAGELONNE
Orphans of the Sky,by Robert A. Heinlein,31,2,14,1985,İngilizce,500,Berkley Books
The season of passage,by Christopher Pike,64,1,5,1992,İngilizce,438,Tom Doherty Associates
Starsight,by Brandon Sanderson,37,2,28,2019,İngilizce,Sayfa sayısı bilgisi yok,Delacorte Press
War with the newts,by Karel Čapek,31,7,0,1959,İngilizce,241,Bantam Books
The Purple Cloud,"by M. P. Shiel, J. J. Cameron ve Brian Stableford",20,0,0,2008,İngilizce,Sayfa sayısı bilgisi yok,Dodo Press
Delirium,by Lauren Oliver,52,5,16,2011,İngilizce,441,Hodder & Stoughton
Ancillary Mercy,by Ann Leckie,22,1,50,2015,İngilizce,359,Orbit
O homen positrónico,by Isaac Asimov ve Robert Silverberg,39,3,22,1994,Portekizce,172,Publicac ʹo es Europa-America
The street of crocodiles,by Bruno Schulz,56,4,8,1995,İngilizce,160,Penguin
Les Dauphins de Pern,by Anne McCaffrey,42,2,16,"Apr 30, 1996",Fransızca,Sayfa sayısı bilgisi yok,POCKET
I Am Not Okay With This,by Charles Forsman,67,2,3,"Nov 06, 2018",İngilizce",162,Fantagraphics
"Celebrated Crimes, Vol. 7",Part 1: Ali Pacha,1,0,0,2017-10-17,İngilizce,Sayfa sayısı bilgisi yok,LibriVox
I Will Fear No Evil,by Robert A. Heinlein,27,1,14,1979,İngilizce,Sayfa sayısı bilgisi yok,New English Library
Une machine comme moi,by Ian McEwan,56,2,10,2020,Fransızca,387,GALLIMARD
The gods of Mars,by Edgar Rice Burroughs,30,3,0,1962,İngilizce,348,Canaveral Press
Nemesis Games,Book 5 of the Expanse,34,28,0,"Jul 18, 2015",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Orbit
Star trek 1,by James Blish,45,4,7,1967,İngilizce,136,Bantam Books
Chainfire,by Terry Goodkind,26,2,21,2005,İngilizce,756,Doherty
Two trains running,by Charles Stross ve Lucius Shepard,38,1,33,2004,İngilizce,112,Golden Gryphon Press
Earthsea,The First Four Books,50,5,6,2016,İngilizce,704,Penguin Books
The forge of God,by Greg Bear ve Stephen Bel Davies,31,1,19,1987,İngilizce,372,Tom Doherty Associates
The Dragonriders of Pern,by Anne McCaffrey,48,1,17,1988,İngilizce,820,Ballantine Books
Fool me once,by Harlan Coben ve January LaVoy,51,6,7,2016,Dil bilgisi yok,Sayfa sayısı bilgisi yok,"Dil İngilizce"
Revan,Star Wars: The Old Republic,55,3,8,2011,İngilizce,298,Del Rey/Ballantine Books
Dogsbody,by Diana Wynne Jones,36,1,11,2000,Dil bilgisi yok,Sayfa sayısı bilgisi yok,HarperCollins Children's Books
More than human,by Theodore Sturgeon,38,1,11,1953,İngilizce,233,"Farrar, Straus and Young"
Memorie di ghiaccio. La caduta di Malazan vol. 3\1,by Steven Erikson,31,3,31,2005-01-01,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Armenia
The Blazing World,by Margaret Cavendish,1,1,0,2023,İngilizce,102,Standard Ebooks
Станислав,by Stanisław Lem,35,2,15,2007,Rusça,925,"Izd-vo AST, Khranitel £"
The Masterharper of Pern,by Anne McCaffrey,44,2,16,1999-Jan-01,İngilizce,432,Ballantine Books Inc.
Borne,by Jeff VanderMeer,47,20,0,"Aug 25, 2020",İngilizce,100,Blackstone Publishing
The Devil rides out,by Dennis Wheatley,34,2,4,1969,İngilizce,320,Arrow Books
The age of miracles,by Karen Thompson Walker,46,3,12,2013,İngilizce,328,Thorpe
Red Planet,by Robert A. Heinlein,24,1,18,2006,İngilizce,Sayfa sayısı bilgisi yok,Ballantine Books
Batman,hush,49,2,16,2003,İngilizce,Sayfa sayısı bilgisi yok,DC Comics
Matter,by Iain M. Banks,21,2,39,"Jul 06, 2008",İngilizce,544,Orbit
Protector,by Larry Niven,28,1,23,1973,İngilizce,Sayfa sayısı bilgisi yok,Ballantine Books
Star Wars,Darth Plagueis,49,17,0,2012,İngilizce,379,Del Rey/Ballantine Books
Tarnsman of Gor,by John Norman,32,2,8,"Aug 17, 1977",Dil bilgisi yok,Sayfa sayısı bilgisi yok,"Star, Tandem"
The Butlerian Jihad (Legends of Dune),by Kevin J. Anderson ve Brian Herbert,44,6,22,"April 28, 2003",İngilizce,624,New English Library Ltd
Red Star Rising (The Second Chronicles of Pern),by Anne McCaffrey ve Dick Hill,40,1,9,"July 3, 1997",İngilizce,415,Corgi Adult
All Tomorrow's Parties,by William Gibson,24,30,0,"February 4, 2003",İngilizce,339,Berkley
Persepolis Rising (The Expanse Book 7),by James S. A. Corey,23,56,0,"Dec 05, 2017",İngilizce,560,Orbit
Walking the clouds,an anthology of indigenous science fiction,66,2,2,2012,İngilizce,329,University of Arizona Press
"Akira, Vol. 1",by Katsuhiro Ōtomo,40,2,24,"Oct 13, 2009",İngilizce,363,Kodansha Comics
Fils du ciel,by Kenneth Oppel,38,1,8,2004,Fransızca,497,Editions Scholastic
The More than Complete Hitchhiker's Guide,by Douglas Adams,63,4,6,1989,İngilizce,624,Wings Books
En dan nog iets...,by Eoin Colfer,19,1,16,2010,Felemenkçe,317,Mynx
The Dying Earth,by Jack Vance ve Arthur Morey,40,1,12,"Feb 15, 2010",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Brilliance Audio
Otherland,City of Golden Shadow,34,4,19,1996,İngilizce,770,New Amer Library
Scythe (Arc of a Scythe),by Neal Shusterman,60,2,8,"Nov 22, 2016",İngilizce,448,Simon & Schuster Books for Young Readers
The Mysterious Benedict Society and the Perilous Journey,The Mysterious Benedict Society #2,54,2,13,"May 1, 2008",İngilizce,448,"Little, Brown Young Readers"
A maze of death,by Philip K. Dick,34,13,0,1994,İngilizce,192,Vintage Books
Agua Dulce,by Akwaeke Emezi,49,11,0,2021,Dil bilgisi yok,Sayfa sayısı bilgisi yok,consomni
Tarzan the Invincible (Tarzan Series #14),"by Edgar Rice Burroughs, Casper Van Dien, Franke, Henry G., 3rd ve Joe Jusko",3,2,0,"September 12, 1978",İngilizce,192,Ballantine Books
Transformers,Spotlight Omnibus Volume 1,35,1,5,"Apr 28, 2015",İngilizce,316,IDW Publishing
La mort à nu,by Simon Beckett,23,1,16,2007,Fransızca,335,Calmann-Lévy
Vril,The Power of the Coming Race,8,2,0,July 1986,İngilizce,256,"Garber Communications, Incorporated"
Warcross,Bir Sanal Gerceklik Oyunu,44,1,11,"Oct 30, 2017",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Yabanci Yayinevi
Paper girls,by Brian K. Vaughan ve Cliff Chiang,37,1,30,2018,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Planeta Cómic
Onlar Yoktu,by Dean Koontz,30,5,10,"Nov 01, 2006",Türkçe,Sayfa sayısı bilgisi yok,Inkilap Kitabevi
Winter,by Marissa Meyer,47,2,22,"November 10, 2015",İngilizce,827,Feiwel and Friends
"The soul of man under socialism, The socialist ideal art, and The coming solidarity","By Oscar Wilde, William Morris, W.C. Owen",25,4,0,1892,İngilizce,48,Humboldt Pub. Co.
Hobbit and the Lord of the Rings Boxed Set,by J.R.R. Tolkien,16,33,0,2020,İngilizce,1601,"HarperCollins Publishers Limited, HarperCollins, Harper Collins Publ. UK"
Armageddon's Children,by Terry Brooks,37,1,13,2006,İngilizce,384,Del Rey/Ballantine
The girl who owned a city,by O. T. Nelson,53,9,2,1995,İngilizce,200,Runestone Press
The Starlight Crystal,by Christopher Pike,62,3,9,1996-02,İngilizce,224,Pocket Books
Dragon's egg,by Robert L. Forward,52,2,9,1980,İngilizce,345,Ballantine Books
The Toll,by Neal Shusterman,59,2,15,2019,İngilizce,625,Simon & Schuster BFYR
Insanliği ancak sen kurtarabilirsin,by Terry Pratchett,24,13,0,2011,Türkçe,204,Tudem
Forever Peace,by Joe Haldeman,36,27,0,1997,İngilizce,326,Ace Books
The Scar,by China Miéville,38,1,23,2004,İngilizce,578,Ballantine Books
Armageddon 2419 A.D.,by Philip Francis Nowlan,3,1,0,2017,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
Surveiller et punir,naissance de la prison,41,2,4,1975,Fransızca,360,Gallimard
Star Wars Trilogy,"by George Lucas, Donald F. Glut, James Kahn ve G. Lucas",36,2,8,"Sep 01, 2015",İngilizce,668,Del Rey
Christian Science,by Mark Twain,13,1,0,2021-03-08,İngilizce,336,LibriVox
Tonkiĭ raschet,by Sidney Sheldon,31,9,14,1998,Rusça,394,Izd-vo AST
C'est le coeur qui lâche en dernier,by Margaret Atwood,41,1,15,2017-08,Fransızca,450,ROBERT LAFFONT
Chasm City,by Alastair Reynolds,26,1,28,2002,İngilizce,524,"Ace Books, Ace Hardcover"
Fail-safe,by Eugene Burdick,40,1,1,1963,İngilizce,285,Dell Publ. Co.
The invention of Morel,and other stories from La trama celeste.,55,3,11,1964,İngilizce,237,University of Texas Press
A Fall of Moon Dust,by Arthur C. Clarke ve Oliver Wyman,23,3,11,1961,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Harbrace Paperbound Library
Where eagles dare,by Alistair MacLean ve Norah Woollard,35,4,2,1994,İngilizce,283,Eagle Large Print
Assignment in Eternity,by Robert A. Heinlein,18,5,14,1988,İngilizce,272,New English Library
Gravedad,by Tess Gerritsen,36,2,5,"January 1, 2000",İspanyolca,Sayfa sayısı bilgisi yok,Emece Editores
Things to come,"a critical text of the 1935 London first edition, with an introduction and appendices",27,2,0,2007,İngilizce,261,"McFarland & Co., Inc., Publishers"
Busy!,by Annie Kubler,68,11,0,2002,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Child's Play (International)
L'affrontement,by Katherine Applegate,29,20,0,1997,Fransızca,Sayfa sayısı bilgisi yok,Les Éditions Scholastic
"The 100 (The 100 Series, Book 1)",by Kass Morgan,88,7,4,"Aug 17, 2001",İngilizce,Sayfa sayısı bilgisi yok,Hodder Paperbacks
Si le grain ne meurt,by André Gide,5,0,0,1928,Fransızca,336,Clarendon Press
Scarlet,by Marissa Meyer,38,2,28,2013,"Pages454",741,"Feiwel & Friends, Feiwel and Friends"
Paslanmaz çelik siçan,"by Harry Harrison, Carlos Ezquerra ve Kelvin Gosnell",27,3,17,1995,Türkçe,166,Metis Yayinlari
Barrayar,by Lois McMaster Bujold,20,2,30,"Mar 27, 1993",Fransızca,255,n/a
Darwin's radio,by Greg Bear,33,1,18,1999,İngilizce,440,HarperCollins
The Sheep Look Up,by John Brunner,44,1,6,2003,İngilizce,388,BenBella Books
The Paper Menagerie and Other Stories,by Ken Liu,50,2,9,2016,İngilizce,464,Saga Press
Axiom's End,A Novel,44,2,20,"Aug 10, 2021","Pages384",Sayfa sayısı bilgisi yok,St. Martin's Griffin
Three Hearts and Three Lions,by Poul Anderson,34,1,13,"August 15, 1974",İngilizce,160,Spere Books Ltd
Tarzan Triumphant,Edgar Rice Burroughs Authorized Library,2,0,0,2022,İngilizce,236,"Edgar Rice Burroughs, Inc."
Wolf Pack,by Edo Van Belkom,61,2,4,"October 12, 2004",İngilizce,184,Tundra Books
Into the Forest,by Jean Hegland,42,6,8,"September 2, 1997",İngilizce,256,Bantam
La guerre des étoiles. Le spectre du passé,by Timothy Zahn,45,1,10,"February 24, 1999",Fransızca,Sayfa sayısı bilgisi yok,Presses de la Cité
The Catchers of Heaven: A Trilogy,"by Wolf, Michael",65,1,1,1996,İngilizce,402,Dorrance Pub. Co.
Forest of Silence (Deltora Quest),by Emily Rodda,39,2,18,March 2001,İngilizce,Sayfa sayısı bilgisi yok,Turtleback Books Distributed by Demco Media
"One-Punch Man, Vol. 1",by ONE,64,2,7,2015-Sep-01,İngilizce,200,SHONEN JUMP
Doctor Who - The Wheel in Space,Number 130 in the Doctor Who Library,24,2,3,August 1988,İngilizce,144,Carol Publishing Corporation
Rex 2,Time Soldiers Book #2 (Time Soldiers),52,3,2,"March 1, 2000",İngilizce,48,Big Guy Books
Camping à Madagascar,by Elisabetta Dami,52,1,8,2017-10-04,İngilizce,224,ALBIN MICHEL
The Stone Sky,by N. K. Jemisin,33,2,24,"August 15, 2017",İngilizce,464,Orbit
Job,a comedy of justice,27,2,19,1985,İngilizce,368,New English Library
Echopraxia (Firefall),by Peter Watts,36,1,23,"May 7, 2015",İngilizce,Sayfa sayısı bilgisi yok,Head of Zeus
De gouden appels van de zon,"by Ray Bradbury, Francisco Abelenda ve Richard Negrou",24,3,2,1980,Felemenkçe,221,Elsevier
Dragon's Kin,by Anne McCaffrey ve Todd McCaffrey,38,6,0,"Dec 28, 2004",İngilizce,298,Perfection Learning
Skin again,by Bell Hooks ve Christopher Raschka,53,1,0,2005,İngilizce,32,Jump at the Sun
Among the Imposters,Shadow Children #2,48,6,10,"October 1, 2002",İngilizce,192,Aladdin
Running With The Demon,by Terry Brooks,31,17,0,"Nov 24, 1997",İngilizce,420,Del Rey
The Elfstones of Shannara,by Terry Brooks,36,8,0,2015,İngilizce,608,Random House Publishing Group
"Waldo and Magic, Inc.",by Robert A. Heinlein,20,16,0,1969,İngilizce,204,Pan Books
Always Coming Home,by Ursula K. Le Guin,42,1,5,1985,İngilizce,523,Harper & Row
Cibola burn,by James S. A. Corey,27,1,27,2014,Dil bilgisi yok,Sayfa sayısı bilgisi yok,"Little, Brown Book Group"
Star Born,by Andre Norton,23,1,5,2019,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
Camioneros,by Terry Pratchett,28,2,6,2008,İspanyolca,253,Altaya
Martian time-slip,by Philip K. Dick,24,2,12,1995,İngilizce,262,Vintage Books
Blackout,by Connie Willis,33,1,18,"Jun 01, 2011",İngilizce,360,Gollancz
Around the World in 80 Days,by Jules Verne,37,3,10,2009,İngilizce,64,"Idea & Design Works, LLC"
Damia By Anne McCaffrey,by Anne McCaffrey ve Jean Reed Bahle,34,2,10,"Aug 30, 1992",İngilizce,368,Ace Books
Ciudad de Los Espejos,by Justin Cronin,37,14,0,2017-09,İspanyolca,768,Ediciones Urano S. A.
The king of the golden river,by John Ruskin,21,1,4,1906,Dil bilgisi yok,232,H.M. Caldwell
La science du Disque-monde,"by Terry Pratchett, Ian Stewart, Jack Cohen, Ian Stewart ve Jack Cohen",25,15,0,2007,Fransızca,Sayfa sayısı bilgisi yok,L'Atalante
Moving Mars,by Greg Bear,19,1,11,1994,İngilizce,500,Tor
Güle Güle Dünya,by Isaac Asimov,29,2,7,1997,Türkçe,199,Sarmal Yayinevi
Tom Clancy's Net Force,by Tom Clancy ve Steve R. Pieczenik,36,3,7,1998,İngilizce,384,"Feature, Headline"
The VISITOR,THE VISITOR,56,1,9,"November 1, 1995",İngilizce,176,Simon Pulse
La reine des neiges,by Joan D. Vinge,34,1,15,1984,Fransızca,572,J'ai lu
How few remain,by Harry Turtledove,50,2,8,April 1998,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Del Ray
Vision du futur,roman,36,17,0,1999,Fransızca,609,Presses de la Cité
An acceptable time,by Madeleine L'Engle,36,2,10,1989,İngilizce,343,Farrar Straus Giroux
"Les sept clefs du pouvoir, Tome 2 (French Edition)",by Garth Nix,32,2,13,"May 22, 2007",İngilizce,294,"GALLIMARD (ï¿½DITIONS), GALLIMARD JEUNE"
Castle Roogna,by Piers Anthony,31,1,21,"Sep 12, 1984",İngilizce,304,Orbit
The Swarm,A Novel,48,5,17,2006,İngilizce,236,Regan Books
A Journey in Other Worlds,A Romance of the Future,0,0,0,"Feb 02, 2020",İngilizce,286,Eli Jayne
La razón de ser de una flor,by Ruth Heller,47,1,5,1993,İspanyolca,46,Scholastic
The Asimov Chronicles,Fifty Years of Isaac Asimov,53,3,5,1989,İngilizce,Sayfa sayısı bilgisi yok,Dark Harvest Books
Martin the Warrior,Redwall #6,27,2,15,1994,İngilizce,376,Philomel Books
Nerilka's Story,by Anne McCaffrey,29,1,18,"October 2, 1987",İngilizce,191,Corgi Adult
