Kitap Adı,Yazar,Okumak İsteyenler,Şu Anda Okuyanlar,Okumuş Olanlar,Zaman,Dil,Sayfa Sayısı,Yayıncı
"Thuvia, Maid of Mars","by Edgar Rice Burroughs, Taylor Anderson, Craig Trahan, Eric King, J. Allen St. John ve Aberdeen Press",27,1,11,"August 1, 2001",İngilizce,238,Quiet Vision Pub
Ready Player One,"by Ernest Cline, Arnaud Regnauld ve Ernest Cline",1008,61,353,"Apr 01, 2012",İngilizce,333,Arrow Books
Xenocide,by Orson Scott Card,76,6,127,2007,İngilizce,278,Orbit
De witte draak,by Anne McCaffrey,82,1,39,2001,Felemenkçe,488,Het Spectrum
In the days of the comet,by H. G. Wells,34,1,3,1906,İngilizce,378,Century
The Chrysalids,by John Wyndham,97,2,17,"Sep 16, 1958",İngilizce,200,"Penguin, MICHAEL JOSEPH"
The Fire Next Time,by James Baldwin,373,14,49,1963,İngilizce,741,Franklin Watts
Eine kurze Geschichte der Menschheit,by Yuval Noah Harari,3464,295,224,"Oct 15, 2015",Almanca,516,"Pantheon, Pantheon Verlag"
Dünyaya Orman Denir,by Ursula K. Le Guin,99,4,10,"Aug 24, 2013",Türkçe,136,Metis Yayincilik
Rêves et cauchemars,by Stephen King,173,6,45,1995-05,Fransızca,704,France Loisirs
Oblachnyĭ atlas,by David Mitchell,222,2,99,2013,Rusça,798,"Domino, ĖKSMO"
La Peste écarlate,by Jack London,57,1,8,2021-05-19,Fransızca,101,Audiocite
Le mutant au sang vert,by Robert Lawrence Stine,104,9,30,2015,Fransızca,109,Éditions Scholastic
Dead Until Dark,by Charlaine Harris,144,46,0,"Oct 01, 2011",İngilizce,156,Gollancz
Rüyanın Öte Yakası,by Ursula K. Le Guin,142,6,55,"Nov 04, 2011",Türkçe,224,Metis
Le baron perché,by Italo Calvino,74,10,11,2012,Fransızca,399,Gallimard
Mala suerte,by Lee Child,124,13,33,2012,İngilizce,448,"RBA, RBA Libros"
Mars la Rouge,by Kim Stanley Robinson ve Manuel Figueroa,148,4,91,1997,İngilizce,554,Libre Expression
El Capitán Calzoncillos y el perverso plan del Profesor Pipicaca,by Dav Pilkey,95,7,21,2002-09,İspanyolca,103,Scholastic Inc.
Üç Cisim Problemi,by 刘慈欣,878,68,292,"Apr 13, 2015",Türkçe,416,Ithaki Yayinlari
Le secret du chevalier,by Tamora Pierce,188,7,80,2009,Fransızca,310,Hachette Jeunesse
Sihirli şehir,[Amber şehir],272,25,78,2008,Türkçe,243,E Yayınları
